title,release_date,tagline
Bound by Honor,2/5/93,An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.
Smilla's Sense of Snow,2/13/97,Some Tracks Should Never Be Uncovered.
Femme Fatale,11/6/02,Nothing is more desirable or more deadly than a woman with a secret.
Lion of the Desert,4/17/81,He was a man of honor in a war without any.
The Horseman on the Roof,9/20/95,
Ride with the Devil,11/24/99,"In a No-man's Land between North and South, You didn't fight for the Blue or the Grey... You fought for your friends and family."
Biutiful,10/20/10,"You don't choose your family. We all belong to somebody, but to belong to Uxbal and Marambra, is both a blessing and a curse."
Bandidas,1/18/06,Being BAD never looked so GOOD!
Black Water Transit,5/13/09,
The Maze Runner,9/10/14,Run - Remember - Survive
Unfinished Business,3/5/15,Best business trip ever.
The Age of Innocence,9/17/93,In a world of tradition. In an age of innocence. They dared to break the rules.
The Fountain,9/6/06,Death is the road to awe
Chill Factor,9/1/99,"This Fall, Action is served on the rocks, with a twist."
Stolen,5/17/12,Never steal from the world's greatest thief.
Ponyo,7/19/08,Welcome To A World Where Anything Is Possible.
The Longest Ride,4/9/15,Two couples. Two love stories. One epic tale.
The Astronaut's Wife,8/26/99,How well do you know the one you love?
I Dreamed of Africa,5/5/00,Sometimes the adventure of a lifetime becomes life itself.
Playing for Keeps,11/29/12,
Mandela: Long Walk to Freedom,12/6/13,It is an ideal for which I am prepared to die.
Reds,12/25/81,Not since Gone With The Wind has there been a great romantic epic like it!
A Few Good Men,12/11/92,
Exit Wounds,3/13/01,This Is Gonna Hurt
Big Momma's House,5/31/00,This FBI agent is going undercover... and he's concealing more than a weapon.
Thunder and the House of Magic,12/24/13,One lost little cat. One magical adventure.
The Darkest Hour,12/22/11,Survive The Holidays
Step Up Revolution,7/26/12,One Step Can Change Your World
Snakes on a Plane,8/6/06,"At 30,000 feet, snakes aren't the deadliest thing on this plane."
The Watcher,9/8/00,Don't go home alone.
The Punisher,4/15/04,"There is no justice, there is only revenge."
Goal!: The Dream Begins,6/6/05,Every Dream Has A Beginning
Safe,4/16/12,She has the code. He is the key.
Pushing Tin,4/23/99,A comedy about losing control
Return of the Jedi,5/23/83,The Empire Falls...
Doomsday,3/14/08,Mankind has an expiration date.
The Reader,12/10/08,Behind the mystery lies a truth that will make you question everything you know.
Wanderlust,2/23/12,Leave your baggage behind
Elf,10/9/03,"This holiday, discover your inner elf."
Phenomenon,7/5/96,Some things in life just can't be explained.
Snow Dogs,1/18/02,Get ready for mush hour!
Scrooged,11/22/88,The spirits will move you in odd and hysterical ways.
Nacho Libre,6/16/06,He's not lean. He's not mean. He's nacho average hero.
Bridesmaids,4/28/11,Save the date
This Is the End,6/12/13,Nothing ruins a party like the end of the world.
Stigmata,9/10/99,The messenger must be silenced.
Men of Honor,9/13/00,History is made by those who break the rules.
Takers,8/26/10,Who's Taking Who?
The Big Wedding,4/25/13,It's never too late to start acting like a family
"Big Mommas: Like Father, Like Son",2/16/11,Momma's got back-up.
Source Code,3/30/11,Make Every Second Count
Alive,1/15/93,They survived the impossible...by doing the unthinkable.
The Number 23,2/23/07,First it takes hold of your mind...then it takes hold of your life.
The Young and Prodigious T.S. Spivet,10/16/13,
1941,12/13/79,Paranoia meets pandemonium.
Dreamer: Inspired By a True Story,9/10/05,
A History of Violence,9/23/05,Tom Stall had the perfect life... until he became a hero.
Transporter 2,8/2/05,The Best In The Business Is Back In The Game.
The Quick and the Dead,2/9/95,Think you are quick enough?
Laws of Attraction,4/4/04,Love always has the last word.
Bringing Out the Dead,10/22/99,
Repo Men,3/18/10,"For a price, any organ in your body can be replaced. But it can also be repossessed."
Dragon Wars: D-War,2/8/07,They've made our world their battleground
Bogus,9/6/96,"A comedy about losing your heart, finding your inner child and meeting the one friend you've always tried to avoid."
The Incredible Burt Wonderstone,3/14/13,Abracatastic!
Cats Don't Dance,3/26/97,It's a Jungle Out There!
Cradle Will Rock,12/10/99,
The Good German,12/8/06,"If war is Hell, then what comes after?"
George and the Dragon,3/28/04,
Apocalypse Now,8/15/79,This is the end...
Going the Distance,9/1/10,A comedy about meeting each other halfway.
Mr. Holland's Opus,12/29/95,"Of All the Lives He Changed, the One That Changed the Most Was His Own."
Criminal,4/14/16,
Out of Africa,12/20/85,Based on a true story.
Flight,11/2/12,
Moonraker,6/26/79,Outer space now belongs to 007.
The Grand Budapest Hotel,2/26/14,A perfect holiday without leaving home.
Hearts in Atlantis,9/7/01,What if one of life's great mysteries moved in upstairs?
Arachnophobia,8/9/90,"Eight legs, two fangs, and an attitude."
Frequency,4/28/00,The future is listening.
Vacation,7/28/15,What could go wrong?
Get Shorty,10/20/95,"The mob is tough, but it’s nothing like show business."
Chicago,12/26/02,"If You Can't Be Famous, Be Infamous"
Big Daddy,6/25/99,Nature called. Look who answered.
American Pie 2,8/10/01,This Summer It's All About Sticking Together.
Toy Story,10/30/95,
Speed,6/9/94,Get ready for rush hour
The Vow,2/5/12,
Extraordinary Measures,1/21/10,Don't hope for a miracle. Make one.
Remember the Titans,9/29/00,History is written by the winners.
The Hunt for Red October,3/2/90,Invisible. Silent. Stolen.
The Butler,8/16/13,One quiet voice can ignite a revolution.
DodgeBall: A True Underdog Story,6/18/04,Grab Life By The Ball
The Addams Family,11/22/91,Weird Is Relative
Ace Ventura: When Nature Calls,11/10/95,New animals. New adventures. Same hair.
The Princess Diaries,8/3/01,She rocks. She rules. She reigns.
The First Wives Club,9/20/96,Don't get mad. Get everything.
Se7en,9/22/95,Seven deadly sins. Seven ways to die.
District 9,8/5/09,You are not welcome here.
The SpongeBob SquarePants Movie,11/14/04,Bigger. Better. More absorbent.
Mystic River,10/7/03,"We bury our sins, we wash them clean."
Million Dollar Baby,12/15/04,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love."
Analyze This,3/5/99,New York's most powerful gangster is about to get in touch with his feelings. YOU try telling him his 50 minutes are up.
The Notebook,6/25/04,Behind every great love is a great story.
27 Dresses,1/10/08,She's about to find the perfect fit.
Hannah Montana: The Movie,4/10/09,She has the best of both worlds...now she has to choose just one.
Rugrats in Paris: The Movie,9/14/00,Ooo la la! Paris will never be the same!
The Prince of Tides,12/25/91,"A story about the memories that haunt us, and the truth that sets us free."
Legends of the Fall,12/16/94,After the Fall from Innocence the Legend begins.
Up in the Air,9/5/09,The story of a man ready to make a connection.
About Schmidt,12/13/02,Schmidt Happens
Warm Bodies,1/31/13,Cold body. Warm heart.
Looper,9/26/12,"Hunted By Your Future, Haunted By Your Past"
Down to Earth,2/16/01,
Babe,7/18/95,A little pig goes a long way.
Hope Springs,8/7/12,"Sometimes to keep the magic, you need to learn a few tricks."
Forgetting Sarah Marshall,4/17/08,"You lose some, you get some."
Four Brothers,8/11/05,They came home to bury mom... and her killer
Baby Mama,4/23/08,Would you put your eggs...in this basket?
Hope Floats,5/29/98,"When life fell apart, love fell into place."
Bride Wars,1/9/09,May the best bride win
Without a Paddle,8/20/04,"The call of the wild, the thrill of adventure. The mistake of a lifetime."
13 Going on 30,4/13/04,"For some, 13 feels like it was just yesterday. For Jenna, it was."
Midnight in Paris,5/11/11,
The Nut Job,1/17/14,Let's Get Nuts!
Blow,4/4/01,Based on a True Story.
Message in a Bottle,2/22/99,A story of love lost and found.
Star Trek V: The Final Frontier,6/9/89,Adventure and imagination will meet at the final frontier.
Like Mike,7/3/02,"Think like Mike, Achieve like Mike, Be Like Mike."
The Naked Gun 33⅓: The Final Insult,3/18/94,"A Mad Bomber is on the Loose, and If Anyone Can Stop Him....So Can Frank!"
A View to a Kill,5/24/85,Has James Bond finally met his match?
The Curse of the Were-Rabbit,9/4/05,Something bunny is going on...
P.S. I Love You,11/15/07,"His life ended. Now, a new one will begin."
Racing Stripes,1/6/05,Cheer 'til you're horse!
Atonement,8/29/07,Torn apart by betrayal. Separated by war. Bound by love.
Letters to Juliet,5/14/10,What if you had a second chance to find true love?
Black Rain,9/22/89,Their country. Their laws. Their game. His rules.
The Three Stooges,4/13/12,Just Say Moe.
Corpse Bride,9/9/05,There's been a grave misunderstanding.
Glory Road,1/13/06,The incredible story of the team that changed the game forever.
Sicario,9/17/15,The border is just another line to cross.
Southpaw,6/15/15,Believe in Hope.
Drag Me to Hell,3/15/09,"Christine Brown has a good job, a great boyfriend, and a bright future. But in three days, she's going to hell."
The Age of Adaline,4/16/15,Love is timeless.
Secondhand Lions,9/19/03,
Step Up 3D,8/4/10,Two Worlds. One Dream.
Blue Crush,8/8/02,"Three Friends, One Passion, No Limits."
Stranger Than Fiction,9/9/06,Harold Crick isn't ready to go. Period.
30 Days of Night,10/17/07,They're Coming!
The Cabin in the Woods,4/12/12,If you hear a strange sound outside... have sex
Meet the Spartans,1/24/08,"The Bigger the Hit, The Harder They Fall"
Midnight Run,7/20/88,This could be the beginning of a beautiful friendship.
The Running Man,11/13/87,A game nobody survives. But Schwarzenegger has yet to play.
Little Shop of Horrors,12/19/86,Don't feed the plants.
Hanna,4/7/11,Adapt or die.
Mortal Kombat: Annihilation,11/21/97,"The world was created in six days, so too shall it be destroyed and on the seventh day mankind will rest... in peace"
Larry Crowne,6/30/11,Rediscover life and love
Carrie,10/16/13,Know her name. Fear her power.
Take the Lead,3/17/06,Never Follow
Gridiron Gang,9/15/06,One goal. A second chance.
What's the Worst That Could Happen?,5/31/01,It takes a thief to nail a crook.
9,8/19/09,When our world ended their mission began.
Side Effects,2/7/13,One pill can change your life.
The Prince & Me,3/28/04,Finding your inner princess can be such a royal pain.
Winnie the Pooh,4/13/11,Oh Pooh.
Dumb and Dumberer: When Harry Met Lloyd,6/13/03,The evolution of dumb...
Bulworth,5/15/98,Brace yourself. This politician is about to tell the truth!
Get on Up,8/1/14,The Funk Don't Quit
One True Thing,9/18/98,Love What You Have.
Virtuosity,8/4/95,Justice needs a new program.
My Super Ex-Girlfriend,6/20/06,Hell hath no fury like a superwoman scorned.
Deliver Us from Evil,7/1/14,
Sanctum,2/3/11,The only way out is down.
Little Black Book,8/6/04,Have you ever been tempted to look inside his...
The Five-Year Engagement,4/27/12,A comedy about the journey between popping the question and tying the knot.
Mr. 3000,6/15/04,Big league. Big mouth. Big time.
The Next Three Days,11/18/10,What if you had 72 hours to save everything you live for?
Ultraviolet,3/3/06,The blood war is on.
Assault on Precinct 13,1/19/05,Unite and fight.
The Replacement Killers,2/6/98,Kill or be replaced.
Fled,7/19/96,See how they run.
Eight Legged Freaks,7/17/02,Do you hate spiders? Do you really hate spiders? Well they don't like you either.
Love & Other Drugs,11/22/10,Addicted to one-night stands or dependent on one another?
88 Minutes,2/14/07,He has 88 minutes to solve a murder. His own.
North Country,2/12/05,All She Wanted Was To Make A Living. Instead She Made History.
The Whole Ten Yards,4/7/04,"They missed each other. This time, their aim is better."
Splice,10/6/09,Science's newest miracle...is a mistake.
Howard the Duck,8/1/86,You will believe that a duck can talk.
Pride and Glory,9/9/08,Truth. Honor. Loyalty. Family. What are you willing to sacrifice?
The Cave,8/25/05,There are places man was never meant to go.
Alex & Emma,6/16/03,Is it love... or are they just imagining things?
Wicker Park,9/3/04,Passion never dies.
Fright Night,8/18/11,You can't run from evil when it lives next door.
The New World,12/25/05,"Once discovered, it was changed forever."
Wing Commander,3/11/99,An action packed thrill ride!
In Dreams,1/15/99,You don't have to sleep to dream
Dragonball Evolution,4/1/09,The legend comes to life.
The Last Stand,1/12/13,Not in his town. Not on his watch.
Godsend,4/30/04,"When a miracle becomes a nightmare, evil is born."
Chasing Liberty,1/9/04,How do you fall in love with the whole world watching?
Hoodwinked Too! Hood VS. Evil,4/29/11,Not All Fairy Tales Go By the Book.
An Unfinished Life,9/9/05,Every secret takes on a life of its own.
The Imaginarium of Doctor Parnassus,10/1/09,
Barney's Version,10/26/10,First he got married. Then he got married again. Then he met the love of his life.
Runner Runner,9/24/13,The house always wins.
Antitrust,1/12/01,Truth can be dangerous...Trust can be deadly.
Glory,12/15/89,Their innocence. Their heritage. Their lives.
Once Upon a Time in America,2/16/84,"Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America."
Dead Man Down,3/8/13,Blood demands blood
The Merchant of Venice,9/3/04,
The Good Thief,4/3/03,He doesn't want money. He wants what money can't buy.
Supercross,8/16/05,
Miss Potter,12/3/06,The life of Beatrix Potter is the most enchanting tale of all.
The Promise,12/15/05,the promise
DOA: Dead or Alive,9/7/06,"They're the ultimate fighters. They've got the looks. They've got the moves, and the men fall at their feet."
The Assassination of Jesse James by the Coward Robert Ford,9/2/07,Beyond the myth lies America's greatest betrayal
1911,7/3/11,Fall of the Last Empire
Little Nicholas,9/30/09,
Wild Card,1/14/15,Never bet against a man with a killer hand.
Machine Gun Preacher,9/23/11,Hope is the greatest weapon of all
Animals United,10/7/10,
Goodbye Bafana,2/11/07,
United Passions,6/19/14,Every dream has it's own rules
Grace of Monaco,5/14/14,
Savva. Heart of the Warrior,11/12/15,You need only wish with all of your heart!
Ripley's Game,9/2/02,
Sausage Party,7/11/16,Always use condiments
Pitch Perfect 2,5/7/15,We're back pitches
Walk the Line,9/13/05,Love is a burning thing.
Keeping the Faith,4/14/00,"If you have to believe in something, you may as well believe in love."
The Borrowers,12/5/97,Little People. Big Trouble. Lots of fun.
Frost/Nixon,10/15/08,400 million people were waiting for the truth.
Confessions of a Dangerous Mind,12/30/02,Some things are better left top secret.
Serving Sara,8/20/02,The One Thing That Could Bring Them Together Is Revenge.
The Boss,4/7/16,Watch your assets
Cry Freedom,11/5/87,
Mumford,9/24/99,Some towns have all the fun.
Seed of Chucky,11/11/04,Fear The Second Coming
The Jacket,3/4/05,Terror has a new name.
Aladdin,11/25/92,Wish granted!
Straight Outta Compton,8/13/15,The Story of N.W.A.
Indiana Jones and the Temple of Doom,5/23/84,If adventure has a name... it must be Indiana Jones.
The Rugrats Movie,11/20/98,
Along Came a Spider,4/6/01,The game is far from over.
Florence Foster Jenkins,5/6/16,"People may say I couldn't sing, but no one can say I didn't sing"
Once Upon a Time in Mexico,9/11/03,The Time Has Come.
Die Hard,7/15/88,40 Stories. Twelve Terrorists. One Cop.
Role Models,2/3/08,They're about to get more than they plea-bargained for.
The Big Short,12/11/15,This is a true story.
Taking Woodstock,9/3/09,A Generation Began In His Backyard.
Miracle,2/6/04,"If you believe in yourself, anything can happen."
Dawn of the Dead,3/19/04,"When the undead rise, civilization will fall."
The Wedding Planner,1/26/01,His big day is her big problem.
Space Pirate Captain Harlock,9/7/13,
The Royal Tenenbaums,10/5/01,"Family isn’t a word, it’s a sentence."
Identity,4/25/03,The secret lies within.
Last Vegas,10/31/13,It's going to be legendary
For Your Eyes Only,6/23/81,"No one comes close to James Bond, 007."
Serendipity,10/5/01,Sometimes True Love Can Have More Than One Face.
Timecop,9/15/94,They killed his wife ten years ago. There's still time to save her. Murder is forever... until now.
Zoolander,9/28/01,3% Body Fat. 1% Brain Activity.
Safe Haven,2/7/13,You know it when you find it
Hocus Pocus,7/16/93,It's just a bunch of Hocus Pocus.
No Reservations,7/25/07,Life isn't always made to order.
Kick-Ass,3/22/10,Shut up. Kick ass.
30 Minutes or Less,8/11/11,A lot can happen in 30 minutes.
Dracula 2000,12/22/00,The Most Seductive Evil of All Time Has Now Been Unleashed in Ours.
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10/8/14,One day can change everything.
Pride & Prejudice,9/16/05,A romance ahead of its time.
Blade Runner,6/25/82,Man has made his match... now it's his problem.
Rob Roy,4/13/95,Honor made him a man. Courage made him a hero. History made him a legend.
3 Days to Kill,2/14/14,
We Own the Night,5/25/07,Two brothers on opposite sides of the law. Beyond their differences lies loyalty.
Lost Souls,10/13/00,
Winged Migration,12/12/01,
Just My Luck,5/12/06,Everything changed in the wink of an eye.
"Mystery, Alaska",10/1/99,A Small Town on the Outskirts of Greatness.
The Spy Next Door,1/15/10,"Spying is easy, Babysitting is hard"
A Simple Wish,7/11/97,Anabel made a wish. Murray made a mess
Ghosts of Mars,8/24/01,Terror is the same on any planet.
Our Brand Is Crisis,9/11/15,May the best campaign win.
Pride and Prejudice and Zombies,2/4/16,Bloody lovely.
Kundun,12/25/97,
How to Lose Friends & Alienate People,10/2/08,"He's across the pond, and out of his depth."
Kick-Ass 2,7/17/13,You Can't Fight Your Destiny.
Alatriste,9/1/06,
Brick Mansions,4/22/14,Undercover and never Outgunned
Octopussy,6/5/83,James Bond’s all time high.
Knocked Up,6/1/07,Save the due date.
My Sister's Keeper,6/26/09,"A tale of life, love, and letting go."
Welcome Home Roscoe Jenkins,2/8/08,"Roscoe Jenkins aims for the heartstrings and funny bones, a raucous helping of family soul food."
A Passage to India,12/14/84,"David Lean, the Director of ""Doctor Zhivago"", ""Lawrence of Arabia"" and ""The Bridge on the River Kwai"", invites you on . ."
Notes on a Scandal,12/25/06,One woman's secret is another woman's power. One woman's fear is another woman's weapon. One woman's life is in another woman's hands....
Rendition,9/7/07,What if someone you love...just disappeared?
Star Trek VI: The Undiscovered Country,12/5/91,The battle for peace has begun.
Divine Secrets of the Ya-Ya Sisterhood,6/7/02,The Secret Is Out.
Kiss the Girls,10/3/97,Smart Girls. Pretty Girls. Missing Girls.
The Blues Brothers,6/17/80,They'll never get caught. They're on a mission from God.
The Sisterhood of the Traveling Pants 2,8/6/08,Some friends just fit together.
Joyful Noise,1/13/12,Dream a whole lot louder
About a Boy,4/26/02,One ordinary couple. One little white lie.
Lake Placid,7/15/99,You'll never know what bit you.
Lucky Number Slevin,2/24/06,Wrong Time. Wrong Place. Wrong Number.
The Right Stuff,10/20/83,How the future began.
Anonymous,10/21/11,Was Shakespeare a Fraud?
The NeverEnding Story,4/5/84,A boy who needs a friend finds a world that needs a hero in a land beyond imagination!
Dark City,2/27/98,A world where the night never ends.
The Duchess,9/5/08,Based on the incredible true story.
Return to Oz,6/21/85,An all-new adventure down the yellow brick road.
The Newton Boys,3/26/98,Four Brothers. Four Criminals. For The Money... They Would Stop At Nothing.
Case 39,8/13/09,Some cases should  never be opened.
Suspect Zero,8/27/04,Who's next?
Martian Child,11/2/07,"doesn't matter where you come from, as long as you find where you belong!"
Spy Kids: All the Time in the World,8/18/11,
Money Monster,5/12/16,Not every conspiracy is a theory.
The 51st State,12/7/01,Nice Wheels. Dirty Deals. And One Mean Mother In A Kilt.
Flawless,11/26/99,
Mindhunters,5/7/04,"For seven elite profilers, finding a serial killer is a process of elimination. Their own."
What Just Happened,10/17/08,Admit nothing.
The Statement,12/12/03,"At the end of World War II, many of those involved in war crimes were prosecuted. Some got away. Until now."
The Magic Flute,9/7/06,
Paul Blart: Mall Cop,1/15/09,Safety Never Takes A Holiday.
Freaky Friday,8/3/03,Mondays are manic. Wednesdays are wild. And Fridays are about to get a little freaky.
The 40 Year Old Virgin,8/11/05,"The longer you wait, the harder it gets"
Shakespeare in Love,12/11/98,Love is the only inspiration.
A Walk Among the Tombstones,9/18/14,Some people are afraid of all the wrong things
Kindergarten Cop,12/21/90,"Go ahead, you tell him you didn't do your homework."
Pineapple Express,8/6/08,Put this in your pipe and smoke it.
Ever After: A Cinderella Story,7/31/98,Desire. Defy. Escape.
Open Range,8/29/03,No place to run. No reason to hide.
Flatliners,8/9/90,Some lines shouldn't be crossed.
A Bridge Too Far,6/15/77,Out of the sky comes the screen's most incredible spectacle of men and war!
Red Eye,8/4/05,Fear takes flight.
Final Destination 2,1/31/03,Death is like a boomerang. it keeps coming back
"O Brother, Where Art Thou?",8/30/00,They have a plan...but not a clue.
Legion,1/21/10,"When the last angel falls, the fight for mankind begins."
Pain & Gain,4/18/13,Their American dream is bigger than yours.
In Good Company,12/29/04,"He's rich, young and handsome. He's in love with you and he's your dad's boss."
Clockstoppers,3/17/02,"The adventure of a lifetime, in a few mere seconds."
Silverado,7/10/85,Four strangers become friends. Four friends become heros. On the road to...
Brothers,1/27/09,There are two sides to every family.
Agent Cody Banks 2: Destination London,12/3/04,Adventure is an attitude.
New Year's Eve,12/8/11,The one night anything is possible.
Original Sin,8/3/01,This is not a love story - it's a story about love.
The Raven,3/9/12,The only one who can stop a serial killer is the man who inspired him.
Welcome to Mooseport,2/24/04,
Highlander: The Final Dimension,11/29/94,"Throughout time they have hunted each other fulfilling the prophecy, that there can be only one."
Blood and Wine,10/3/96,There is no honour amongst thieves.
Snow White: A Tale of Terror,7/18/97,The fairy tale is over.
The Curse of the Jade Scorpion,8/5/01,Love stings
Accidental Love,2/10/15,Sometimes you nail love. Sometimes it nails you.
Flipper,5/17/96,This summer it's finally safe to go back in the water.
Self/less,7/10/15,God Created Man. Man Created Immortality.
The Constant Gardener,8/31/05,Love. At any cost.
The Passion of the Christ,2/25/04,"By his wounds, we were healed."
Mrs. Doubtfire,11/24/93,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.
Rain Man,12/11/88,A journey through understanding and fellowship.
Gran Torino,12/9/08,Ever come across somebody you shouldn't have messed with?
W.,10/17/08,A life misunderestimated.
Taken,2/18/08,They took his daughter.  He'll take their lives.
The Best of Me,10/16/14,You never forget your first love.
The Bodyguard,11/25/92,Never let her out of your sight. Never let your guard down. Never fall in love.
Schindler's List,11/29/93,"Whoever saves one life, saves the world entire."
The Help,8/9/11,Change begins with a whisper.
The Fifth Estate,10/11/13,You can't expose the world's secrets without exposing yourself
Scooby-Doo 2: Monsters Unleashed,3/24/04,They came. They saw. They ran.
Forbidden Kingdom,1/30/14,The truth is in you
Freddy vs. Jason,8/15/03,Evil Will Battle Evil
The Face of an Angel,9/6/14,"Forget the truth, find the story."
Jimmy Neutron: Boy Genius,12/21/01,"He may be small, but he's got a big brain!"
Cloverfield,1/15/08,Some Thing Has Found Us
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,3/22/91,"Cowabunga, it's the new turtle movie."
The Untouchables,6/2/87,What are you prepared to do?
No Country for Old Men,11/8/07,There are no clean getaways.
Ride Along,1/7/14,Propose to this cop's sister? Rookie mistake.
Bridget Jones's Diary,4/13/01,Health Warning: Adopting Bridget's lifestyle could seriously damage your health.
Chocolat,12/14/00,...and the world is still indulging!
"Legally Blonde 2: Red, White & Blonde",7/2/03,Bigger. Bolder. Blonder.
Parental Guidance,12/25/12,Here come the grandparents.  There go the rules.
No Strings Attached,1/21/11,Friendship has its benefits.
Tombstone,12/25/93,Justice is coming.
Romeo Must Die,3/20/00,"In the city ruled by criminals, two families have forgotten their fear. He will make them remember."
The Omen,6/6/76,It is the greatest mystery of all because no human being will ever solve it.
Final Destination 3,2/10/06,This Ride Will Be The Death Of You.
The Lucky One,4/19/12,
Bridge to Terabithia,2/16/07,"Close your eyes, but keep your mind wide open."
Finding Neverland,10/17/04,Where will your imagination take you?
A Madea Christmas,12/13/13,This Little Fool Thinks She's Getting A Damn Pony
The Grey,1/26/12,Live or Die on This Day
Hide and Seek,1/27/05,"Come out, come out, whatever you are."
Anchorman: The Legend of Ron Burgundy,7/9/04,They bring you the news so you don't have to get it yourself.
GoodFellas,9/12/90,Three Decades of Life in the Mafia.
Agent Cody Banks,3/14/03,Save the world. Get the girl. Pass math.
Nanny McPhee,10/21/05,You'll Learn To Love Her. Warts And All.
Scarface,12/8/83,The world is yours...
Nothing to Lose,7/18/97,"When the odds are against you, sometimes the only bet is yourself."
The Last Emperor,10/21/87,"He was the Lord of Ten Thousand Years, the absolute monarch of China. He was born to rule a world of ancient tradition. Nothing prepared him for our world of change."
Contraband,1/12/12,What would you hide to protect your family?
Money Talks,8/22/97,This ain't no buddy movie.
There Will Be Blood,12/28/07,There Will Be Greed. There Will Be Vengeance.
The Wild Thornberrys Movie,12/20/02,You don't need extraordinary powers to do extraordinary things.
Rugrats Go Wild,6/13/03,The Family Vacation Goes Overboard
Undercover Brother,5/31/02,He's All Action
The Sisterhood of the Traveling Pants,6/1/05,Laugh. Cry. Share the pants.
Kiss of the Dragon,7/6/01,Kiss Fear Goodbye
The House Bunny,8/22/08,"For the girls of ZETA house college life was no party, until Shelley showed up."
Beauty Shop,6/2/05,A Cut Above
Million Dollar Arm,5/9/14,"Sometimes to win, sometimes you have to change the game"
The Giver,8/11/14,Search for truth. Find freedom.
What a Girl Wants,3/27/03,Trying to fit in. Born to stand out.
Jeepers Creepers 2,8/8/03,He can taste your fear.
Good Luck Chuck,9/21/07,He has to break his curse before she breaks his heart.
Cradle 2 the Grave,2/28/03,Mortal enemies make dangerous friends.
The Hours,12/27/02,The time to hide is over. The time to regret is gone. The time to live is now.
She's the Man,3/17/06,"If you wanna chase your dream, sometimes you gotta break the rules."
Mr. Bean's Holiday,3/22/07,Disaster has a passport.
Anacondas: The Hunt for the Blood Orchid,8/26/04,
Blood Ties,8/22/13,Crime runs in the family.
August Rush,11/21/07,An incredible journey moving at the speed of sound
Elizabeth,9/13/98,Declared illegitimate aged 3. Tried for treason aged 21. Crowned Queen aged 25.
Bride of Chucky,10/16/98,Chucky Gets Lucky.
Tora! Tora! Tora!,1/26/70,The incredible attack on Pearl Harbor.
Spice World,12/19/97,You say you want a revolution?
The Sitter,12/9/11,Worst. Babysitter. Ever.
Dance Flick,5/22/09,
The Shawshank Redemption,9/23/94,Fear can hold you prisoner. Hope can set you free.
Crocodile Dundee in Los Angeles,4/12/01,He heard there was wildlife in L.A. He didn't know how wild.
Kingpin,7/4/96,You wouldn't want to meet these pinheads in an alley.
The Gambler,12/25/14,The only way out is all in
August: Osage County,12/26/13,Misery loves family
Ice Princess,3/17/05,
A Lot Like Love,4/22/05,There's nothing better than a great romance... to ruin a perfectly good friendship.
Eddie the Eagle,2/26/16,"Win or lose, always aim high"
He Got Game,5/1/98,"The father, the son and the holy game."
Don Juan DeMarco,10/1/94,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!
Dear John,2/4/10,Love brought them together. Will fate tear them apart?
The Losers,4/23/10,Anyone Else Would Be Dead By Now.
Don't Be Afraid of the Dark,11/6/10,Fear is never just make believe
War,8/24/07,Vengeance is the ultimate weapon.
Punch-Drunk Love,10/25/02,
EuroTrip,2/20/04,No actual Europeans were harmed in the making of this film.
Half Past Dead,11/15/02,
Unaccompanied Minors,12/8/06,"No plane, no parents, no problem!"
"Bright Lights, Big City",4/1/88,
The Adventures of Pinocchio,7/26/96,A new angle on the classic tale... And that's no lie!
The Greatest Game Ever Played,9/30/05,Based on a True Story
The Box,9/17/09,All you have to do is push the button.
The Ruins,4/2/08,Terror has evolved.
The Next Best Thing,3/3/00,Best Friends Make The Best Mistakes
My Soul to Take,10/8/10,Only One Has The Power To Save Their Souls
The Girl Next Door,4/9/04,Matt never saw her coming... but all his friends had!
Maximum Risk,9/13/96,The Other Side of Safety.
Stealing Harvard,9/13/02,Their intentions were honorable. Their methods were criminal.
Legend,9/9/15,"Love, fight, live, rule like a legend."
Hot Rod,8/3/07,Smack destiny in the face.
Shark Night,9/2/11,Terror runs deep.
Angela's Ashes,12/25/99,
Draft Day,4/11/14,The greatest victories don't always happen on the field.
Lifeforce,6/20/85,"In the blink of an eye, the terror begins."
The Conspirator,9/10/10,One bullet killed the President. But not one man.
Lords of Dogtown,6/3/05,"They never thought they'd be famous, but they always thought they'd be friends."
The 33,8/6/15,Hope Runs Deep
Big Trouble in Little China,5/30/86,Adventure doesn't come any bigger!
Fly Me to the Moon,10/29/12,
Warrior,9/9/11,Fight for Family
Michael Collins,10/25/96,"Ireland, 1916. His Dreams Inspired Hope. His Words Ignited Passion. His Courage Forged A Nation's Destiny."
Gettysburg,10/8/93,
Stop-Loss,3/28/08,The bravest place to stand is by each other's side.
Abandon,10/14/02,Watch who you leave behind.
Brokedown Palace,8/13/99,"Their graduation present was a trip to paradise, but they never thought they would land in hell."
The Possession,8/30/12,Fear The Demon That Doesn't Fear God
Mrs. Winterbourne,4/19/96,The story of a girl who is going from filthy to rich
Straw Dogs,9/16/11,Everyone Has A Breaking Point
The Hoax,10/14/06,Never let the truth get in the way of a good story.
